,Number of customer,dataset,time_min,sum_low,sum_upper,number truck,number drone,Woriking time,Truck cappacity (kg),Drone capacity (kg),Drone_speech,Truck_speech,Drone_duaration (min)
0,6,6.10.1,23.40286786,1425,1800,1,1,40,1500,40,1,0.666666667,30
1,6,6.10.2,26.46435718,1400,1850,1,1,40,1500,40,1,0.666666667,30
2,6,6.10.3,22.96249678,1375,1800,1,1,40,1500,40,1,0.666666667,30
3,6,6.10.4,22.37521774,1400,1850,1,1,40,1500,40,1,0.666666667,30
4,6,6.20.1,54.3419208,1525,1800,1,1,90,1500,40,1,0.666666667,30
5,6,6.20.2,40.98742077,1500,1775,1,1,90,1500,40,1,0.666666667,30
6,6,6.20.3,86.54132938,1550,1900,1,1,90,1500,40,1,0.666666667,30
7,6,6.20.4,71.62616086,1375,1875,1,1,90,1500,40,1,0.666666667,30
8,6,6.5.1,17.99410396,1475,2050,1,1,30,1500,40,1,0.666666667,30
9,6,6.5.2,16.15058258,1300,1800,1,1,30,1500,40,1,0.666666667,30
10,6,6.5.3,18.77116192,1450,1925,1,1,30,1500,40,1,0.666666667,30
11,6,6.5.4,15.48428526,1350,1850,1,1,30,1500,40,1,0.666666667,30
12,10,10.10.1,49.0584246,1400,1975,1,1,60,1500,40,1,0.666666667,30
13,10,10.10.2,29.43444452,1400,1900,1,1,60,1500,40,1,0.666666667,30
14,10,10.10.3,42.96690117,1375,1875,1,1,60,1500,40,1,0.666666667,30
15,10,10.10.4,44.33405507,1500,2000,1,1,60,1500,40,1,0.666666667,30
16,10,10.20.1,95.10323421,1475,1900,1,1,100,1500,40,1,0.666666667,30
17,10,10.20.2,76.82002654,1375,1850,1,1,100,1500,40,1,0.666666667,30
18,10,10.20.3,66.3229538,1375,1825,1,1,100,1500,40,1,0.666666667,30
19,10,10.20.4,53.37873198,1350,1875,1,1,100,1500,40,1,0.666666667,30
20,10,10.5.1,26.35301512,1425,2050,1,1,30,1500,40,1,0.666666667,30
21,10,10.5.2,18.04813089,1400,2100,1,1,30,1500,40,1,0.666666667,30
